date,home_team,away_team,winner,first_shooter,match_key,home_team.res,away_team.res,goal_diff,total_goals,abs_goal_diff,tournament,neutral,country,ninety_winner,match_type,goal_efficiency,early_goals,mid_goals,late_goals,extra_goals,total_team_goals,late_goal_ratio,early_goal_ratio,goal_momentum,draw_90,winner_is_ninety_winner,late_goal_shift,goals_penalty_ratio,big_tourney,match_intensity,home_confed,pressure_index,home_advantage,neutral_big_tourney,game_balance,year,decade,result_type,target_win_home
1967-08-22,India,Taiwan,Taiwan,Colombia,1967-08-22 India Taiwan,India,Taiwan,0,2,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,Other,0,0,0,1,1967,1960,draw,FALSE
1971-11-14,South Korea,Vietnam Republic,South Korea,Colombia,1971-11-14 South Korea Vietnam Republic,South Korea,Vietnam Republic,0,2,0,King's Cup,TRUE,Thailand,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1971,1970,draw,TRUE
1972-05-07,South Korea,Iraq,Iraq,Colombia,1972-05-07 South Korea Iraq,South Korea,Iraq,0,0,0,AFC Asian Cup,TRUE,Thailand,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,TRUE,0,AFC,1,0,1,1,1972,1970,draw,FALSE
1972-05-17,Thailand,South Korea,South Korea,Colombia,1972-05-17 Thailand South Korea,Thailand,South Korea,0,2,0,AFC Asian Cup,FALSE,Thailand,Draw,draw,2,0,0,0,1,1,0,0,0,TRUE,FALSE,0,2,TRUE,2,AFC,1,1,0,1,1972,1970,draw,FALSE
1972-05-19,Thailand,Cambodia,Thailand,Colombia,1972-05-19 Thailand Cambodia,Thailand,Cambodia,0,4,0,AFC Asian Cup,FALSE,Thailand,Draw,draw,4,1,0,1,0,2,0.5,0.5,0,TRUE,FALSE,0,4,TRUE,4,AFC,1,1,0,1,1972,1970,draw,TRUE
1973-04-21,Senegal,Ghana,Ghana,Colombia,1973-04-21 Senegal Ghana,Senegal,Ghana,1,1,1,African Cup of Nations qualification,FALSE,Senegal,Senegal,close,0.5,0,0,0,0,1,0,0,0,FALSE,FALSE,0,0.5,FALSE,0,CAF,0,1,0,0.5,1973,1970,close_win,FALSE
1973-06-14,Guinea,Mali,Guinea,Colombia,1973-06-14 Guinea Mali,Guinea,Mali,0,2,0,African Cup of Nations qualification,FALSE,Guinea,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1973,1970,draw,TRUE
1973-06-14,Mauritius,Tanzania,Mauritius,Colombia,1973-06-14 Mauritius Tanzania,Mauritius,Tanzania,0,2,0,African Cup of Nations qualification,FALSE,Mauritius,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,CAF,0,1,0,1,1973,1970,draw,TRUE
1973-07-26,Malaysia,Kuwait,Malaysia,Colombia,1973-07-26 Malaysia Kuwait,Malaysia,Kuwait,0,0,0,Merdeka Tournament,FALSE,Malaysia,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,1,0,1,1973,1970,draw,TRUE
1973-07-26,Cambodia,Singapore,Singapore,Colombia,1973-07-26 Cambodia Singapore,Cambodia,Singapore,0,2,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,AFC,0,0,0,1,1973,1970,draw,FALSE
1973-07-27,Bangladesh,Thailand,Thailand,Colombia,1973-07-27 Bangladesh Thailand,Bangladesh,Thailand,0,4,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,4,0,0,0,0,1,0,0,0,TRUE,FALSE,0,4,FALSE,0,AFC,0,0,0,1,1973,1970,draw,FALSE
1973-07-28,Myanmar,South Korea,Myanmar,Colombia,1973-07-28 Myanmar South Korea,Myanmar,South Korea,0,0,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,0,0,0,0,0,1,0,0,0,TRUE,FALSE,0,0,FALSE,0,AFC,0,0,0,1,1973,1970,draw,TRUE
1973-08-09,India,Vietnam Republic,Vietnam Republic,Colombia,1973-08-09 India Vietnam Republic,India,Vietnam Republic,0,2,0,Merdeka Tournament,TRUE,Malaysia,Draw,draw,2,0,0,0,0,1,0,0,0,TRUE,FALSE,0,2,FALSE,0,Other,0,0,0,1,1973,1970,draw,FALSE
